Reference,Qty,Value,Manufacturer_Name,Manufacturer_Part_Number,Mouser Part Number
"C1,C2,C12,C13,C23,C24,C36,C37",8,0.1uF,,,
"C3,C4,C14,C15,C25,C26,C38,C39",8,1000pF,,,
"C5,C6,C10,C11,C16,C17,C21,C22,C27,C28,C32,C33,C34,C35,C40,C41",16,100pF,,,
"C7,C8,C18,C19,C29,C30,C42,C43",8,1000pF,,,
"C9,C20,C31,C44",4,0.2pF,,,
"FL1,FL3",2,HFCG-440+,Mini-Circuits,HFCG-440+,139-HFCG-440+
"FL2,FL4",2,LFCN-6000,Mini-Circuits,LFCN-6000,139-LFCN-6000
"IC1,IC3,IC5,IC8",4,PMA1-14LN+,Mini-Circuits,PMA1-14LN+,
"IC2,IC4,IC6,IC7",4,RFSW6024TR13,Qorvo,RFSW6024TR13,772-RFSW6024TR13
"J1,J2,J3,J4",4,Conn_01x02_Pin,Harwin,M20-9990246,855-M20-9990246
"J5,J6",2,Conn_Coaxial,RF Solutions,CON-SMA-EDGE-S,223-CON-SMA-EDGE-S
"L1,L2,L3,L4,L5,L6,L7,L8",8,390nH,,,
"R1,R4,R7,R12",4,510,,,
"R2,R3,R5,R6,R8,R9,R10,R11",8,0,,,
